epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,179.113,2.02746,3.10609,2.2826,0.53231,0.12202,0.09566,0.03504,2.1711,3.64523,2.629,0.007822,0.007822,0.007822
46,182.499,2.08699,3.05552,2.30642,0.54266,0.16412,0.10716,0.03644,2.22472,3.31295,2.69005,0.0077725,0.0077725,0.0077725
47,185.888,2.08887,2.9595,2.27917,0.77098,0.05215,0.08557,0.02843,2.22474,3.16154,2.68297,0.007723,0.007723,0.007723
48,189.25,2.14617,3.08315,2.30673,0.32909,0.16266,0.08767,0.02662,2.29374,3.11671,2.70555,0.0076735,0.0076735,0.0076735
49,192.627,2.03525,2.98835,2.23715,0.48777,0.21485,0.0651,0.02298,2.22923,3.41755,2.67433,0.007624,0.007624,0.007624
50,196.057,2.07824,3.03911,2.25271,0.64452,0.08622,0.08366,0.02625,2.13713,2.9869,2.56194,0.0075745,0.0075745,0.0075745
51,199.444,2.06769,3.1442,2.28347,0.36298,0.22274,0.07511,0.02453,2.26252,4.01225,2.64524,0.007525,0.007525,0.007525
52,202.816,2.03609,2.97172,2.26326,0.49801,0.12087,0.05371,0.01683,2.31563,3.79253,2.70807,0.0074755,0.0074755,0.0074755
53,206.188,2.08608,2.99197,2.25631,0.50223,0.11156,0.16678,0.05378,2.2252,3.08579,2.65986,0.007426,0.007426,0.007426
54,209.567,2.09701,3.11886,2.29267,0.50816,0.0691,0.09458,0.03317,2.22984,3.22783,2.70246,0.0073765,0.0073765,0.0073765
55,212.949,2.06356,2.99495,2.23601,0.50993,0.15891,0.13487,0.04826,2.19555,2.64944,2.64335,0.007327,0.007327,0.007327
56,216.333,2.04928,2.93855,2.24902,0.54426,0.18333,0.10561,0.03115,2.17573,3.06001,2.63291,0.0072775,0.0072775,0.0072775
57,219.75,1.98557,2.9283,2.21846,0.65074,0.09495,0.10866,0.03491,2.14742,3.01742,2.6047,0.007228,0.007228,0.007228
58,223.131,2.00465,2.97683,2.20456,0.49636,0.12812,0.10782,0.03546,2.21255,2.82457,2.54914,0.0071785,0.0071785,0.0071785
