epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
187,670.555,1.58158,1.83302,1.80646,0.69786,0.49295,0.66207,0.37146,1.40374,1.28946,1.85109,0.000793,0.000793,0.000793
188,674.004,1.60425,1.89538,1.81676,0.72502,0.47582,0.6608,0.38075,1.38207,1.27072,1.83107,0.0007435,0.0007435,0.0007435
189,677.431,1.58624,1.86945,1.79264,0.66011,0.53172,0.65649,0.37729,1.38433,1.26516,1.83219,0.000694,0.000694,0.000694
190,680.856,1.55664,1.81787,1.83903,0.6647,0.53024,0.65622,0.37685,1.41016,1.28449,1.85271,0.0006445,0.0006445,0.0006445
191,708.439,1.52562,1.81841,1.94099,0.69626,0.48376,0.66179,0.37857,1.41206,1.30152,1.85431,0.000595,0.000595,0.000595
192,711.859,1.53082,1.6925,1.94307,0.69546,0.49076,0.66572,0.37573,1.40768,1.32558,1.8468,0.0005455,0.0005455,0.0005455
193,715.272,1.50376,1.6402,1.93398,0.6438,0.50337,0.67406,0.38472,1.38737,1.3285,1.83456,0.000496,0.000496,0.000496
194,718.662,1.45837,1.57924,1.86976,0.66555,0.51105,0.69755,0.4124,1.39001,1.317,1.82602,0.0004465,0.0004465,0.0004465
195,722.06,1.43365,1.56049,1.87304,0.68009,0.50349,0.70369,0.42252,1.39167,1.30468,1.82264,0.000397,0.000397,0.000397
196,725.476,1.44742,1.43495,1.86527,0.67759,0.49014,0.70669,0.42035,1.38464,1.28598,1.82147,0.0003475,0.0003475,0.0003475
197,728.873,1.48156,1.48771,1.88189,0.65469,0.52733,0.72325,0.42988,1.3669,1.26854,1.8163,0.000298,0.000298,0.000298
198,732.277,1.41539,1.42746,1.8754,0.675,0.52354,0.72879,0.43607,1.34975,1.24315,1.80652,0.0002485,0.0002485,0.0002485
199,735.619,1.45202,1.46218,1.86954,0.65283,0.53475,0.69442,0.42214,1.32982,1.2254,1.79463,0.000199,0.000199,0.000199
200,738.981,1.47105,1.48741,1.89244,0.66503,0.52853,0.69385,0.42432,1.31622,1.21534,1.78348,0.0001495,0.0001495,0.0001495
